,month_year,portfolio_return_market,portfolio_return_term
0,2013-09,1.969638005751584e-06,1.969638005751584e-06
1,2013-10,7.568317431344611e-07,7.568317431344611e-07
2,2013-11,6.901571666318407e-07,6.901571666318407e-07
3,2013-12,6.655946994314057e-07,6.655946994314057e-07
4,2014-01,6.405622594259263e-07,6.405622594259263e-07
5,2014-02,6.148571824562156e-07,6.148571824562156e-07
6,2014-03,6.089686858963794e-07,6.089686858963794e-07
7,2014-04,5.934342537161017e-07,5.934342537161017e-07
8,2014-05,5.822937755098926e-07,5.822937755098926e-07
9,2014-06,5.735401108149156e-07,5.735401108149156e-07
10,2014-07,5.5908394155053e-07,5.5908394155053e-07
11,2014-08,5.465103591377764e-07,5.465103591377764e-07
12,2014-09,5.5558305186265e-07,5.5558305186265e-07
13,2014-10,5.444047969664407e-07,5.444047969664407e-07
14,2014-11,5.302555687478551e-07,5.302555687478551e-07
15,2014-12,5.430873761054543e-07,5.430873761054543e-07
16,2015-01,5.211294655294109e-07,5.211294655294109e-07
17,2015-02,5.140378357775285e-07,5.140378357775285e-07
18,2015-03,5.156357368753639e-07,5.156357368753639e-07
19,2015-04,5.00155849127008e-07,5.00155849127008e-07
20,2015-05,5.087596769090302e-07,5.087596769090302e-07
21,2015-06,-7.885887183439072e-07,-7.885887183439072e-07
22,2015-07,-7.73256199910526e-07,-7.73256199910526e-07
23,2015-08,-7.814692238076107e-07,-7.814692238076107e-07
24,2015-09,-7.94014055540122e-07,-7.94014055540122e-07
25,2015-10,-1.41155806095041e-06,-1.41155806095041e-06
26,2015-11,-1.398520384050777e-06,-1.398520384050777e-06
27,2015-12,-1.4177009352760547e-06,-1.4177009352760547e-06
28,2016-01,0.0,0.0
29,2016-02,-1.3825136564041055e-06,-1.3825136564041055e-06
30,2016-03,-1.3812702289860368e-06,-1.3812702289860368e-06
31,2016-04,-1.3229665508489198e-06,-1.3229665508489198e-06
32,2016-05,-1.344643676322492e-06,-1.344643676322492e-06
33,2016-06,-1.32951103044748e-06,-1.32951103044748e-06
34,2016-07,-1.3111874853272745e-06,-1.3111874853272745e-06
35,2016-08,-1.3267217317287824e-06,-1.3267217317287824e-06
36,2016-09,-1.3182619487674216e-06,-1.3182619487674216e-06
37,2016-10,-1.3259035757521367e-06,-1.3259035757521367e-06
38,2016-11,-1.3139117810068837e-06,-1.3139117810068837e-06
39,2016-12,-1.2867057082224205e-06,-1.2867057082224205e-06
40,2017-01,-1.2701354196831668e-06,-1.2701354196831668e-06
41,2017-02,0.0,0.0
42,2017-03,-1.2788991425408428e-06,-1.2788991425408428e-06
43,2017-04,-1.2209456209197415e-06,-1.2209456209197415e-06
44,2017-05,0.0,0.0
45,2017-06,0.0,0.0
46,2017-07,-1.2283393729659876e-06,-1.2283393729659876e-06
47,2017-08,-1.277076050391818e-06,-1.277076050391818e-06
48,2017-09,0.0,0.0
49,2017-10,-1.2522336857540272e-06,-1.2522336857540272e-06
50,2017-11,-1.2210843017035805e-06,-1.2210843017035805e-06
51,2017-12,-1.2205297675066217e-06,-1.2205297675066217e-06
52,2018-01,-1.225678507832439e-06,-1.225678507832439e-06
53,2018-02,-1.1697961036124401e-06,-1.1697961036124401e-06
54,2018-03,-1.216386760828052e-06,-1.216386760828052e-06
55,2018-04,-1.2019707281080416e-06,-1.2019707281080416e-06
56,2018-05,-1.1915790503434187e-06,-1.1915790503434187e-06
57,2018-06,-1.197152137215849e-06,-1.197152137215849e-06
58,2018-07,-1.1159998123324326e-06,-1.1159998123324326e-06
59,2018-08,-1.196219671992692e-06,-1.196219671992692e-06
60,2018-09,-1.0988884996625088e-06,-1.0988884996625088e-06
61,2018-10,0.0,0.0
62,2018-11,-1.149532313109316e-06,-1.149532313109316e-06
63,2018-12,-1.1670024090532267e-06,-1.1670024090532267e-06
64,2019-01,-1.0797937115506552e-06,-1.0797937115506552e-06
65,2019-02,0.0,0.0
66,2019-03,-1.065770416595452e-06,-1.065770416595452e-06
67,2019-04,0.0,0.0
68,2019-05,-1.0479019584948166e-06,-1.0479019584948166e-06
69,2019-06,-1.047391484041146e-06,-1.047391484041146e-06
70,2019-07,-1.0417079643603026e-06,-1.0417079643603026e-06
71,2019-08,-1.0339930934113997e-06,-1.0339930934113997e-06
72,2019-09,-1.029044337340703e-06,-1.029044337340703e-06
73,2019-10,-1.0381869813808135e-06,-1.0381869813808135e-06
74,2019-11,-1.0276671630052886e-06,-1.0276671630052886e-06
75,2019-12,-1.0495388257540099e-06,-1.0495388257540099e-06
76,2020-01,-1.0345901445672527e-06,-1.0345901445672527e-06
77,2020-02,-1.0217093891083753e-06,-1.0217093891083753e-06
78,2020-03,-1.0428194967696503e-06,-1.0428194967696503e-06
79,2020-04,-1.0438320411883021e-06,-1.0438320411883021e-06
80,2020-05,-1.1319812774769216e-06,-1.1319812774769216e-06
81,2020-06,-1.044745013819079e-06,-1.044745013819079e-06
82,2020-07,-1.030227713674971e-06,-1.030227713674971e-06
83,2020-08,0.0,0.0
84,2020-09,0.0,0.0
85,2020-10,-1.0579045652625785e-06,-1.0579045652625785e-06
86,2020-11,-1.055411956822926e-06,-1.055411956822926e-06
87,2020-12,-1.0506671415361927e-06,-1.0506671415361927e-06
88,2021-01,-1.0163004530344416e-06,-1.0163004530344416e-06
89,2021-02,-9.999466274949607e-07,-9.999466274949607e-07
90,2021-03,-9.967018535322014e-07,-9.967018535322014e-07
91,2021-04,-9.812364176887846e-07,-9.812364176887846e-07
92,2021-05,-1.0013437213299483e-06,-1.0013437213299483e-06
93,2021-06,0.0,0.0
94,2021-07,-9.964247096300234e-07,-9.964247096300234e-07
95,2021-08,0.0,0.0
96,2021-09,-1.0258040259731226e-06,-1.0258040259731226e-06
97,2021-10,-1.0258040259731226e-06,-1.0258040259731226e-06
98,2021-11,-1.0224867978122811e-06,-1.0224867978122811e-06
99,2021-12,-1.0031189877949355e-06,-1.0031189877949355e-06
