dataset,sample,n,start,end,control,annual_incremental_mean_bps,ci_low_bps,ci_high_bps,mean_p,materiality_bps,materiality_assessment,approximate_mde_80pct_bps
DFPS,Post-warmup,171,2007-09,2021-11,Bond-only,7.41868113940879,-73.50026984409479,88.33763212291237,0.8573931431256809,50,Inconclusive at illustrative threshold,115.66394741866912
DFPS,Post-warmup,171,2007-09,2021-11,Risk-scaled bond,9.1657471345997,-33.649990978223116,51.98148524742251,0.6747882572069488,50,Inconclusive at illustrative threshold,61.19996887728594
DFPS,Evaluation,70,2016-02,2021-11,Bond-only,8.235354165397778,-114.59133614536296,131.06204447615852,0.8954468644885949,50,Inconclusive at illustrative threshold,175.56604079814625
DFPS,Evaluation,70,2016-02,2021-11,Risk-scaled bond,-13.713584922517187,-51.619813355611264,24.192643510576893,0.4782735566834869,50,Below illustrative threshold,54.182412883964226
OSBAP,Post-warmup,171,2007-09,2021-11,Bond-only,-10.935962422259301,-94.93045106448062,73.05852621996203,0.7985769722712764,50,Inconclusive at illustrative threshold,120.06006009336984
OSBAP,Post-warmup,171,2007-09,2021-11,Risk-scaled bond,-5.026279526626706,-48.59218817583722,38.539629122583804,0.8211012235734151,50,Below illustrative threshold,62.27224779861638
OSBAP,Evaluation,70,2016-02,2021-11,Bond-only,8.815207909150876,-119.3592682018411,136.98968402014285,0.8927706959771711,50,Inconclusive at illustrative threshold,183.2100600060862
OSBAP,Evaluation,70,2016-02,2021-11,Risk-scaled bond,-11.885121468526778,-54.731734173112784,30.96149123605923,0.5866618312070391,50,Below illustrative threshold,61.24410040784667
ICE,Post-warmup,171,2007-09,2021-11,Bond-only,3.4112969082040636,-82.26720044046353,89.08979425687166,0.9377981656546996,50,Inconclusive at illustrative threshold,122.46714881742768
ICE,Post-warmup,171,2007-09,2021-11,Risk-scaled bond,5.663771816407855,-35.507693356287454,46.83523698910316,0.7874462150103247,50,Below illustrative threshold,58.84967767136534
ICE,Evaluation,70,2016-02,2021-11,Bond-only,-2.1188673231135255,-123.01624379887177,118.77850915264473,0.9725970313193175,50,Inconclusive at illustrative threshold,172.8083177771035
ICE,Evaluation,70,2016-02,2021-11,Risk-scaled bond,-18.484412673514374,-56.5528048181437,19.583979471114947,0.3412523471412161,50,Below illustrative threshold,54.41420648455171
