target,n,lags,annual_alpha_pct,alpha_ci_low_pct,alpha_ci_high_pct,alpha_p,r_squared,residual_annual_vol_pct,standardized_design_condition,alpha_q,dataset,sample
Equity-derived,231,3,0.5973694680793575,-0.1675829918423597,1.3623219280010748,0.12586572059552986,0.47082062561531624,1.5831267054334481,7.220521072820585,0.16782096079403983,DFPS,Full
Equity momentum,231,3,3.925564465658693,1.967863726821656,5.88326520449573,8.488408511393052e-05,0.7336348371581367,4.086752959623972,7.220521072820585,0.0003395363404557221,DFPS,Full
Equity value,231,3,-2.3304019854694693,-3.966361911793516,-0.6944420591454228,0.005238456566396153,0.7017884503938268,4.1134789118059745,7.220521072820585,0.010476913132792306,DFPS,Full
Equity profitability,231,3,0.1969459240488493,-1.4934122575539308,1.8873041056516295,0.8193646280474417,0.40606721486641517,3.484793971604059,7.220521072820585,0.8193646280474417,DFPS,Full
Equity-derived,231,6,0.5973694680793575,-0.0979011394364121,1.292640075595127,0.09217931875212333,0.47082062561531624,1.5831267054334481,7.220521072820585,0.12290575833616445,DFPS,Full
Equity momentum,231,6,3.925564465658693,2.0370720345167763,5.81405689680061,4.617168795243665e-05,0.7336348371581367,4.086752959623972,7.220521072820585,0.0001846867518097466,DFPS,Full
Equity value,231,6,-2.3304019854694693,-3.9688920392776876,-0.691911931661251,0.005308675951871895,0.7017884503938268,4.1134789118059745,7.220521072820585,0.01061735190374379,DFPS,Full
Equity profitability,231,6,0.1969459240488493,-1.3324082137996638,1.7263000618973625,0.8007293598455377,0.40606721486641517,3.484793971604059,7.220521072820585,0.8007293598455377,DFPS,Full
Equity-derived,231,12,0.5973694680793575,-0.07626161127221365,1.2710005474309287,0.08219163140529755,0.47082062561531624,1.5831267054334481,7.220521072820585,0.10958884187373007,DFPS,Full
Equity momentum,231,12,3.925564465658693,2.156055975212527,5.695072956104859,1.372843275592336e-05,0.7336348371581367,4.086752959623972,7.220521072820585,5.491373102369344e-05,DFPS,Full
Equity value,231,12,-2.3304019854694693,-3.932385344840229,-0.7284186260987098,0.004355345821720325,0.7017884503938268,4.1134789118059745,7.220521072820585,0.00871069164344065,DFPS,Full
Equity profitability,231,12,0.1969459240488493,-1.2951324370952049,1.6890242851929036,0.7958598212637752,0.40606721486641517,3.484793971604059,7.220521072820585,0.7958598212637752,DFPS,Full
Equity-derived,161,3,0.7886300515104153,-0.522941114493855,2.1002012175146856,0.2385887409662839,0.4645141692422289,1.7998931464215373,7.091516610537239,0.3181183212883785,DFPS,Development
Equity momentum,161,3,3.982468136734746,1.6715175049956392,6.2934187684738525,0.0007310172438868799,0.7211421804965028,4.403782903734727,7.091516610537239,0.0029240689755475197,DFPS,Development
Equity value,161,3,-1.5934583560557647,-3.473940583515155,0.28702387140362595,0.09674576947525529,0.6955052016685581,4.378548144911394,7.091516610537239,0.19349153895051058,DFPS,Development
Equity profitability,161,3,-0.023119626147736407,-2.3657514525975873,2.319512200302115,0.9845671612567274,0.47407257296514504,3.799929844049916,7.091516610537239,0.9845671612567274,DFPS,Development
Equity-derived,161,6,0.7886300515104153,-0.43861555897001214,2.015875661990843,0.20785006830936725,0.4645141692422289,1.7998931464215373,7.091516610537239,0.27713342441248967,DFPS,Development
Equity momentum,161,6,3.982468136734746,1.7841959183604077,6.1807403551090845,0.000384053815299861,0.7211421804965028,4.403782903734727,7.091516610537239,0.001536215261199444,DFPS,Development
Equity value,161,6,-1.5934583560557647,-3.455319070817617,0.2684023587060873,0.09345450621941595,0.6955052016685581,4.378548144911394,7.091516610537239,0.1869090124388319,DFPS,Development
Equity profitability,161,6,-0.023119626147736407,-2.1358781940242593,2.089638941728787,0.9828882757835916,0.47407257296514504,3.799929844049916,7.091516610537239,0.9828882757835916,DFPS,Development
Equity-derived,161,12,0.7886300515104153,-0.40479865251993774,1.9820587555407685,0.19525527803092968,0.4645141692422289,1.7998931464215373,7.091516610537239,0.2603403707079062,DFPS,Development
Equity momentum,161,12,3.982468136734746,1.9732889318958389,5.991647341573653,0.00010233484910602811,0.7211421804965028,4.403782903734727,7.091516610537239,0.00040933939642411244,DFPS,Development
Equity value,161,12,-1.5934583560557647,-3.3285889255898846,0.14167221347835524,0.07186579339303983,0.6955052016685581,4.378548144911394,7.091516610537239,0.14373158678607967,DFPS,Development
Equity profitability,161,12,-0.023119626147736407,-2.1094964260614524,2.06325717376598,0.9826719356667488,0.47407257296514504,3.799929844049916,7.091516610537239,0.9826719356667488,DFPS,Development
Equity-derived,70,3,0.19037326631935603,-0.37918403836003944,0.7599305709987515,0.5123868559196607,0.6041083733185016,0.8180300241471166,10.625819055502276,0.5123868559196607,DFPS,Evaluation
Equity momentum,70,3,2.9146067450825366,0.854685715372224,4.974527774792849,0.005550333887199263,0.8626637564040909,2.523605141892628,10.625819055502276,0.022201335548797052,DFPS,Evaluation
Equity value,70,3,-1.4378428531289045,-2.645654381109338,-0.23003132514847113,0.01963304145081076,0.8976056971221074,2.0914043353788765,10.625819055502276,0.03926608290162152,DFPS,Evaluation
Equity profitability,70,3,-0.9056440929955621,-1.8283025048494217,0.017014318858297517,0.054372567719719204,0.6012897689407136,1.3278057187169678,10.625819055502276,0.07249675695962561,DFPS,Evaluation
Equity-derived,70,6,0.19037326631935603,-0.3928262907783573,0.7735728234170693,0.5223020468958239,0.6041083733185016,0.8180300241471166,10.625819055502276,0.5223020468958239,DFPS,Evaluation
Equity momentum,70,6,2.9146067450825366,0.9531019337250668,4.876111556440007,0.003586966224141316,0.8626637564040909,2.523605141892628,10.625819055502276,0.01019192680371535,DFPS,Evaluation
Equity value,70,6,-1.4378428531289045,-2.444007906680859,-0.43167779957695007,0.005095963401857675,0.8976056971221074,2.0914043353788765,10.625819055502276,0.01019192680371535,DFPS,Evaluation
Equity profitability,70,6,-0.9056440929955621,-1.8002073115822181,-0.01108087440890615,0.04722481896069313,0.6012897689407136,1.3278057187169678,10.625819055502276,0.06296642528092418,DFPS,Evaluation
