signal,statistic,reported,reproduced,absolute_error
Credit spread,DFPS_OSBAP,0.9979965232242068,0.9979965232242067,1.1102230246251565e-16
Credit spread,DFPS_ICE,0.9943839717898976,0.9943839717898977,1.1102230246251565e-16
Credit spread,OSBAP_ICE,0.9949871342150824,0.9949871342150823,1.1102230246251565e-16
Credit spread,Mean_DFPS,0.8291823654240292,0.8291823654240292,0.0
Credit spread,Mean_OSBAP,0.8542989115330968,0.8542989115330968,0.0
Credit spread,Mean_ICE,0.8974915312669869,0.8974915312669869,0.0
Credit spread,SR_DFPS,0.6888131934777167,0.6888131934777167,0.0
Credit spread,SR_OSBAP,0.7041581234833466,0.7041581234833465,1.1102230246251565e-16
Credit spread,SR_ICE,0.7574347988829149,0.7574347988829148,1.1102230246251565e-16
Credit spread,p_value_DFPS_OSBAP,0.1541601177603219,0.15416011776032193,2.7755575615628914e-17
Credit spread,p_value_DFPS_ICE,0.0200392501601427,0.02003925016014276,6.245004513516506e-17
Credit spread,p_value_OSBAP_ICE,0.1258165194344308,0.1258165194344309,8.326672684688674e-17
Bond momentum,DFPS_OSBAP,0.997132514643474,0.9971325146434739,1.1102230246251565e-16
Bond momentum,DFPS_ICE,0.9865057862886631,0.9865057862886631,0.0
Bond momentum,OSBAP_ICE,0.9862865379014394,0.9862865379014394,0.0
Bond momentum,Mean_DFPS,0.1630637753756289,0.16306377537562894,2.7755575615628914e-17
Bond momentum,Mean_OSBAP,0.1433117436851899,0.1433117436851899,0.0
Bond momentum,Mean_ICE,0.1883600335710625,0.1883600335710625,0.0
Bond momentum,SR_DFPS,0.1741365613593545,0.17413656135935449,2.7755575615628914e-17
Bond momentum,SR_OSBAP,0.1495920160118691,0.14959201601186917,5.551115123125783e-17
Bond momentum,SR_ICE,0.2048531467365759,0.20485314673657593,2.7755575615628914e-17
Bond momentum,p_value_DFPS_OSBAP,0.2485256220899152,0.2485256220899151,8.326672684688674e-17
Bond momentum,p_value_DFPS_ICE,0.4700292764391821,0.4700292764391817,3.885780586188048e-16
Bond momentum,p_value_OSBAP_ICE,0.2183761486005391,0.21837614860053897,1.3877787807814457e-16
Low volatility,DFPS_OSBAP,0.9986522860972006,0.9986522860972006,0.0
Low volatility,DFPS_ICE,0.9859986145173106,0.9859986145173106,0.0
Low volatility,OSBAP_ICE,0.9860303599817012,0.9860303599817011,1.1102230246251565e-16
Low volatility,Mean_DFPS,0.6951248216629833,0.6951248216629833,0.0
Low volatility,Mean_OSBAP,0.6946460513739002,0.6946460513739002,0.0
Low volatility,Mean_ICE,0.7002828665729269,0.7002828665729269,0.0
Low volatility,SR_DFPS,0.7846858029707061,0.7846858029707061,0.0
Low volatility,SR_OSBAP,0.7785923082274137,0.7785923082274137,0.0
Low volatility,SR_ICE,0.8093918273261271,0.8093918273261272,1.1102230246251565e-16
Low volatility,p_value_DFPS_OSBAP,0.9640741208360932,0.9640741208360932,0.0
Low volatility,p_value_DFPS_ICE,0.8785633541892774,0.8785633541892774,0.0
Low volatility,p_value_OSBAP_ICE,0.8685914374890493,0.8685914374890493,0.0
Equity momentum,DFPS_OSBAP,0.9944810984365298,0.9944810984365298,0.0
Equity momentum,DFPS_ICE,0.9842863034128468,0.9842863034128467,1.1102230246251565e-16
Equity momentum,OSBAP_ICE,0.9866062486972336,0.9866062486972335,1.1102230246251565e-16
Equity momentum,Mean_DFPS,0.0524348977361973,0.05243489773619731,1.3877787807814457e-17
Equity momentum,Mean_OSBAP,0.0563060175071607,0.05630601750716076,5.551115123125783e-17
Equity momentum,Mean_ICE,0.0763604730593153,0.07636047305931533,2.7755575615628914e-17
Equity momentum,SR_DFPS,0.0794624584947138,0.07946245849471385,5.551115123125783e-17
Equity momentum,SR_OSBAP,0.085192689846459,0.08519268984645903,2.7755575615628914e-17
Equity momentum,SR_ICE,0.1205443806315004,0.12054438063150048,8.326672684688674e-17
Equity momentum,p_value_DFPS_OSBAP,0.8068541646003922,0.8068541646003919,2.220446049250313e-16
Equity momentum,p_value_DFPS_ICE,0.3730637695658347,0.37306376956583454,1.6653345369377348e-16
Equity momentum,p_value_OSBAP_ICE,0.4220829844931184,0.4220829844931178,5.551115123125783e-16
Equity value,DFPS_OSBAP,0.987321826403464,0.987321826403464,0.0
Equity value,DFPS_ICE,0.986457141492964,0.986457141492964,0.0
Equity value,OSBAP_ICE,0.974968636928554,0.974968636928554,0.0
Equity value,Mean_DFPS,0.0768997619410878,0.07689976194108783,2.7755575615628914e-17
Equity value,Mean_OSBAP,0.0458219658159348,0.0458219658159348,0.0
Equity value,Mean_ICE,0.0453788869813938,0.04537888698139387,6.938893903907228e-17
Equity value,SR_DFPS,0.1225065179597957,0.1225065179597957,0.0
Equity value,SR_OSBAP,0.0694582517116303,0.06945825171163036,6.938893903907228e-17
Equity value,SR_ICE,0.0759874459636469,0.0759874459636469,0.0
Equity value,p_value_DFPS_OSBAP,0.2052931939757948,0.20529319397579482,2.7755575615628914e-17
Equity value,p_value_DFPS_ICE,0.1903205812381219,0.19032058123812182,8.326672684688674e-17
Equity value,p_value_OSBAP_ICE,0.9899212161911268,0.9899212161911268,0.0
