dataset,sample,n,start,end,control,sharpe_difference,ci_low,ci_high,block_months,draws,seed
DFPS,Post-warmup,171,2007-09,2021-11,Bond-only,0.00894622226773531,-0.1321844203080649,0.17424425172588442,6,5000,20260916
DFPS,Post-warmup,171,2007-09,2021-11,Bond-only,0.00894622226773531,-0.10130108008495041,0.15231568888434016,12,5000,20260916
DFPS,Post-warmup,171,2007-09,2021-11,Risk-scaled bond,0.032083285397162944,-0.12131251255219687,0.1922855683585401,6,5000,20260916
DFPS,Post-warmup,171,2007-09,2021-11,Risk-scaled bond,0.032083285397162944,-0.0900303866690788,0.1773456230507538,12,5000,20260916
DFPS,Evaluation,70,2016-02,2021-11,Bond-only,-0.0492690139757343,-0.21829218049146956,0.15116575692193363,6,5000,20260916
DFPS,Evaluation,70,2016-02,2021-11,Bond-only,-0.0492690139757343,-0.16925165307647125,0.09345692575874621,12,5000,20260916
DFPS,Evaluation,70,2016-02,2021-11,Risk-scaled bond,-0.07367726338204761,-0.24194638442526822,0.10906685761130468,6,5000,20260916
DFPS,Evaluation,70,2016-02,2021-11,Risk-scaled bond,-0.07367726338204761,-0.19887207955902184,0.06518974907358917,12,5000,20260916
OSBAP,Post-warmup,171,2007-09,2021-11,Bond-only,-0.03702444811221038,-0.19528706606280832,0.15364362333617326,6,5000,20260916
OSBAP,Post-warmup,171,2007-09,2021-11,Bond-only,-0.03702444811221038,-0.155020425790971,0.1345644917471684,12,5000,20260916
OSBAP,Post-warmup,171,2007-09,2021-11,Risk-scaled bond,-0.01883763318509074,-0.17621678357673312,0.15995841358419916,6,5000,20260916
OSBAP,Post-warmup,171,2007-09,2021-11,Risk-scaled bond,-0.01883763318509074,-0.13188800855026442,0.1304801228071536,12,5000,20260916
OSBAP,Evaluation,70,2016-02,2021-11,Bond-only,-0.0383110324843757,-0.21810756679372373,0.17488949007368643,6,5000,20260916
OSBAP,Evaluation,70,2016-02,2021-11,Bond-only,-0.0383110324843757,-0.17670028572206464,0.11869521531448418,12,5000,20260916
OSBAP,Evaluation,70,2016-02,2021-11,Risk-scaled bond,-0.06443264758376005,-0.2466308823057267,0.13345371425913435,6,5000,20260916
OSBAP,Evaluation,70,2016-02,2021-11,Risk-scaled bond,-0.06443264758376005,-0.21057336874822744,0.092575223111008,12,5000,20260916
ICE,Post-warmup,171,2007-09,2021-11,Bond-only,0.005644015482894364,-0.131144712277486,0.17247772033741693,6,5000,20260916
ICE,Post-warmup,171,2007-09,2021-11,Bond-only,0.005644015482894364,-0.10792655034969763,0.14825641720140084,12,5000,20260916
ICE,Post-warmup,171,2007-09,2021-11,Risk-scaled bond,0.02004360618911987,-0.12405951890974157,0.1820551800440671,6,5000,20260916
ICE,Post-warmup,171,2007-09,2021-11,Risk-scaled bond,0.02004360618911987,-0.09945834796844623,0.15812702188779038,12,5000,20260916
ICE,Evaluation,70,2016-02,2021-11,Bond-only,-0.07329414735589278,-0.2451013209799758,0.14284279409480236,6,5000,20260916
ICE,Evaluation,70,2016-02,2021-11,Bond-only,-0.07329414735589278,-0.20483563161087057,0.09509828930100205,12,5000,20260916
ICE,Evaluation,70,2016-02,2021-11,Risk-scaled bond,-0.09588522036886378,-0.26246149151014253,0.09703801669912307,6,5000,20260916
ICE,Evaluation,70,2016-02,2021-11,Risk-scaled bond,-0.09588522036886378,-0.22836823532078093,0.06482132583501246,12,5000,20260916
